"locationid","location","iso3","time","population","gdp","longitude","latitude"
262,"Djibouti","DJI",2020,1090156,3465.03871349282,42.590274810791016,11.825138092041016
266,"Gabon","GAB",1990,983028,6360.78769273966,11.60944366455078,-0.8036890029907221
266,"Gabon","GAB",2000,1272935,4621.43304334117,11.60944366455078,-0.8036890029907221
266,"Gabon","GAB",2010,1711105,8840.75942283976,11.60944366455078,-0.8036890029907221
266,"Gabon","GAB",2020,2292573,6789.39263219054,11.60944366455078,-0.8036890029907221
268,"Georgia","GEO",1990,5391636,1640.88328537537,43.35689163208008,42.315406799316406
268,"Georgia","GEO",2000,4265172,737.455157625826,43.35689163208008,42.315406799316406
268,"Georgia","GEO",2010,3836831,2986.80321992819,43.35689163208008,42.315406799316406
268,"Georgia","GEO",2020,3765912,3983.68975637212,43.35689163208008,42.315406799316406
270,"Gambia","GMB",1990,1040616,1230.69840669373,-15.310138702392578,13.443181991577148
270,"Gambia","GMB",2000,1437539,987.434830785076,-15.310138702392578,13.443181991577148
270,"Gambia","GMB",2010,1937275,860.639297194254,-15.310138702392578,13.443181991577148
270,"Gambia","GMB",2020,2573995,757.412441096855,-15.310138702392578,13.443181991577148
275,"State of Palestine","PSE",1990,2124609,921.196101636683,35.233154296875,31.95216178894043
275,"State of Palestine","PSE",2000,3139954,1337.96401554217,35.233154296875,31.95216178894043
275,"State of Palestine","PSE",2010,3992278,2387.17477009126,35.233154296875,31.95216178894043
275,"State of Palestine","PSE",2020,5019402,3050.38955865962,35.233154296875,31.95216178894043
276,"Germany","DEU",1990,79370196,22410.5959901546,10.451525688171388,51.16569137573242
276,"Germany","DEU",2000,81551677,23871.2879340809,10.451525688171388,51.16569137573242
276,"Germany","DEU",2010,81325090,42020.0427038445,10.451525688171388,51.16569137573242
276,"Germany","DEU",2020,83328988,45908.7247130686,10.451525688171388,51.16569137573242
288,"Ghana","GHA",1990,15446982,894.419612290118,-1.023193955421447,7.946527004241944
288,"Ghana","GHA",2000,19665502,548.25804739955,-1.023193955421447,7.946527004241944
288,"Ghana","GHA",2010,25574719,1718.64703824967,-1.023193955421447,7.946527004241944
288,"Ghana","GHA",2020,32180402,2205.52608626793,-1.023193955421447,7.946527004241944
296,"Kiribati","KIR",1990,75124,488.347937678116,-157.36302185058594,1.870883345603942
296,"Kiribati","KIR",2000,88826,885.099745819023,-157.36302185058594,1.870883345603942
296,"Kiribati","KIR",2010,107995,1508.889794673,-157.36302185058594,1.870883345603942
296,"Kiribati","KIR",2020,126464,1514.56946404026,-157.36302185058594,1.870883345603942
300,"Greece","GRC",1990,10302255,9572.95226728103,21.824312210083008,39.0742073059082
300,"Greece","GRC",2000,11038109,11885.7582198031,21.824312210083008,39.0742073059082
300,"Greece","GRC",2010,11033783,27263.5235629777,21.824312210083008,39.0742073059082
300,"Greece","GRC",2020,10512232,18117.070258478,21.824312210083008,39.0742073059082
304,"Greenland","GRL",1990,55599,20025.3655582232,-42.60430145263672,71.70693969726562
304,"Greenland","GRL",2000,56184,20775.9238617679,-42.60430145263672,71.70693969726562
304,"Greenland","GRL",2010,56351,44195.896526944,-42.60430145263672,71.70693969726562
304,"Greenland","GRL",2020,56027,55138.5698779367,-42.60430145263672,71.70693969726562
308,"Grenada","GRD",1990,99047,2450.97724012539,-61.68982,12.09227
308,"Grenada","GRD",2000,107432,5057.17468560136,-61.68982,12.09227
308,"Grenada","GRD",2010,114039,7257.77126518892,-61.68982,12.09227
308,"Grenada","GRD",2020,123663,9272.8837561111,-61.68982,12.09227
320,"Guatemala","GTM",1990,9084780,724.510835144146,-90.2307586669922,15.78347110748291
320,"Guatemala","GTM",2000,11735894,1452.50255414608,-90.2307586669922,15.78347110748291
320,"Guatemala","GTM",2010,14543121,2780.65391009103,-90.2307586669922,15.78347110748291
320,"Guatemala","GTM",2020,17362719,4331.6869582017,-90.2307586669922,15.78347110748291
324,"Guinea","GIN",1990,6354145,614.867271052922,-9.69664478302002,9.945587158203123
324,"Guinea","GIN",2000,8336967,518.089809940142,-9.69664478302002,9.945587158203123
324,"Guinea","GIN",2010,10270728,672.424401611989,-9.69664478302002,9.945587158203123
324,"Guinea","GIN",2020,13205153,1179.48889016162,-9.69664478302002,9.945587158203123
328,"Guyana","GUY",1990,747117,850.112776379871,-58.93017959594727,4.860415935516357
328,"Guyana","GUY",2000,759051,1521.99987080103,-58.93017959594727,4.860415935516357
328,"Guyana","GUY",2010,747932,4580.6617127268,-58.93017959594727,4.860415935516357
328,"Guyana","GUY",2020,797202,6956.01941538948,-58.93017959594727,4.860415935516357
332,"Haiti","HTI",1990,6925331,499.663626666811,-72.28521728515625,18.97118759155273
332,"Haiti","HTI",2000,8360225,751.618389239364,-72.28521728515625,18.97118759155273
332,"Haiti","HTI",2010,9842880,1187.18475912316,-72.28521728515625,18.97118759155273
